Date,Name,Day,Observance,Observance Strategy
2015-01-01,New Year's Day,Thursday,2015-01-01,actual_day
2015-02-19,Chinese New Year,Thursday,2015-02-19,actual_day
2015-04-03,Good Friday,Friday,2015-04-03,actual_day
2015-05-01,Labour Day,Friday,2015-05-01,actual_day
2015-06-01,Vesak Day,Monday,2015-06-01,actual_day
2015-07-17,Hari Raya Puasa,Friday,2015-07-17,actual_day
2015-08-07,SG50 Public Holiday,Friday,2015-08-07,actual_day
2015-08-09,National Day,Sunday,2015-08-10,next_monday
2015-09-11,Polling Day,Friday,2015-09-11,actual_day
2015-09-24,Hari Raya Haji,Thursday,2015-09-24,actual_day
2015-11-10,Deepavali,Tuesday,2015-11-10,actual_day
2015-12-25,Christmas Day,Friday,2015-12-25,actual_day
