Date,Name,Day,Observance,Observance Strategy
2016-01-01,New Year's Day,Friday,2016-01-01,actual_day
2016-02-08,Chinese New Year,Monday,2016-02-08,actual_day
2016-03-25,Good Friday,Friday,2016-03-25,actual_day
2016-05-01,Labour Day,Sunday,2016-05-02,next_monday
2016-05-21,Vesak Day,Saturday,2016-05-21,actual_day
2016-07-06,Hari Raya Puasa,Wednesday,2016-07-06,actual_day
2016-08-09,National Day,Tuesday,2016-08-09,actual_day
2016-09-12,Hari Raya Haji,Monday,2016-09-12,actual_day
2016-10-29,Deepavali,Saturday,2016-10-29,actual_day
2016-12-25,Christmas Day,Sunday,2016-12-26,next_monday
