Date,Name,Day,Observance,Observance Strategy
2025-01-01,New Year's Day,Wednesday,2025-01-01,actual_day
2025-01-29,Chinese New Year Day 1,Wednesday,2025-01-29,actual_day
2025-01-30,Chinese New Year Day 2,Thursday,2025-01-30,actual_day
2025-04-18,Good Friday,Friday,2025-04-18,actual_day
2025-05-01,Labour Day,Thursday,2025-05-01,actual_day
2025-05-12,Vesak Day,Monday,2025-05-12,actual_day
2025-06-06,Hari Raya Haji,Friday,2025-06-06,actual_day
2025-08-09,National Day,Saturday,2025-08-09,actual_day
2025-10-20,Deepavali,Monday,2025-10-20,actual_day
2025-12-25,Christmas Day,Thursday,2025-12-25,actual_day 
